Case ID,Outcome Class (PA / PN / NE),Context Score (C),Specificity Score (S),Verification Score (V),Structural Pattern,Prompt Excerpt,Why Representative,Generated Actionable Code?,Notes,PR Language,PR Link,Conversation Link
PA-22,PA,1,2,2,Implementation-oriented,Kotlin の sksamuel/scrimage ライブラリで、画像上に文字列を描画し、文字列の縁取りをするコードを生成してください。文字の色は白、縁は黒で描画します。,"Defines a bounded Kotlin image-rendering task with explicit output constraints, enabling code synthesis.",Yes,Paper-referenced Gate 1 example also used to show implementation framing at Gate 0.,Kotlin,https://github.com/jaoafa/VCSpeaker.kt/pull/70,https://chat.openai.com/share/be37cf76-8d76-4db7-a056-129e216f0fad
PN-19,PN,1,1,1,Implementation-oriented,Hello can you give me a regex to match ULID format? This one is correct? [0-7][0-9A-HJKMNP-TV-Z]{25},"Requests a concrete regex artifact for a ULID format, so the prompt is codable even though adoption did not occur.",Yes,Paper-referenced Gate 0/Gate 1 contrasting example.,PHP,https://github.com/laravel-json-api/core/pull/12,https://chat.openai.com/share/e9555822-4ffb-4845-8e40-0bc6cbbc658d
PA-78,PA,2,2,1,Implementation-oriented,"I want to refactor this program, which takes in an amount of change as a user input, and then outputs how many of each bill and coin you would give back.",Provides program context and asks for refactoring into a better implementation structure.,Yes,Paper-referenced Gate 2 example; also illustrates implementation-oriented Gate 0 framing.,Python,https://github.com/VyProductions/SeniorDesign/pull/57,https://chat.openai.com/share/968d797a-0ef8-4644-91b9-70d1a3d0c016
PA-61,PA,2,1,1,Implementation-oriented,What is tailwindcss and can you make a simple code snippet that shows its use and what it does?,"Requests a TailwindCSS code snippet, explicitly asking for an executable artifact.",Yes,Variation: instructional/example generation request.,TypeScript,https://github.com/UNLV-CS472-672/2024-S-GROUP3-Barbell/pull/229,https://chat.openai.com/share/5e4a70ec-4936-4500-9821-d89ec43df531
PN-25,PN,1,1,1,Implementation-oriented,git diff は違いがあった場合のステータスコードは何でしょうか。ありがとうございます。diffはどうでしょうか。,"Focuses on command behavior and shell-status handling, creating a bounded workflow/script-oriented task.",Yes,Variation: CLI/workflow-oriented prompt.,YAML,https://github.com/VOICEVOX/voicevox_core/pull/655,https://chat.openai.com/share/ea95f20d-b69c-47e3-96cc-5f7872077d53
PA-24,PA,1,2,1,Implementation-oriented,"In TypeScript: could you create an enum consisting of 5 categories, which are used to categorize software projects? Could you then initialize variables which have as a type a list of this enum.","Asks for a concrete TypeScript enum and variable initialization, defining a bounded coding task.",Yes,Paper-referenced Gate 2 contrasting example.,TypeScript,https://github.com/viets-software-club/truffle-ai-backend/pull/52,https://chat.openai.com/share/48bd44b4-13a7-4ff8-9938-2214f0b17f6b
NE-3,NE,1,0,0,Conceptual-oriented,How are express.js middleware functions commonly named? What might you call an express.js middleware that adds a content security policy or other security headers?,Asks for naming conventions and middleware names rather than executable middleware implementation.,No,Paper-referenced Gate 0 conceptual example.,JavaScript,https://github.com/SalesforceCommerceCloud/pwa-kit/pull/1528,https://chat.openai.com/share/d5a18a26-08b3-47ea-a1ac-952dee512285
NE-4,NE,1,0,1,Conceptual-oriented,What is faster in PHP: serialize vs json_encode?,Compares PHP serialization mechanisms and performance without requesting code or a bounded implementation.,No,Technical but analytical/comparative prompt.,PHP,https://github.com/strictphp/http-clients/pull/7,https://chat.openai.com/share/df1da483-465a-49d6-80e1-fc6f21992b58
NE-11,NE,1,0,0,Conceptual-oriented,こちらの変更に対して、『VVMファイルからVoiceModelをコンストラクトする。』という表現について、生成・解放などの用語選択に関する意見が交わされました。,Discusses terminology for API/model construction rather than requesting a code artifact.,No,Technical terminology/workflow-oriented NE case.,Rust,https://github.com/VOICEVOX/voicevox_core/pull/532,https://chat.openai.com/share/60d93fac-6c72-4532-8f7b-f87671a2a73d
NE-25,NE,1,1,0,Conceptual-oriented,"If testing a code requires unit testing private methods, what does that say about the design?",Asks about design implications of testing private methods instead of asking for implementation code.,No,Additional technically grounded conceptual NE case.,Python,https://github.com/marqo-ai/marqo/pull/670,https://chat.openai.com/share/d6c43184-1ad5-49b5-b209-e659bdb68c33
