Case ID,PR_Link,Conversation_Link,Outcome_Class,Context,Specificity,Verification,Rationale,PQS,PR_Size,Log_PR_Size,Has_Code,Adopt_Any,Fraction_Adopted,Status,Exp_Author_Repo,Time_To_Event,PR_Language,Merged_By_Author,Closed_By_Author
PA-22,https://github.com/jaoafa/VCSpeaker.kt/pull/70,https://chat.openai.com/share/be37cf76-8d76-4db7-a056-129e216f0fad,PA,1,2,2,"Context was scored 1 because the prompt provides partial context by mentioning about Kotlin programming language and sksamuel/scrimage library but not code examples, function names or symbols Specificity was scored 2 because the prompt defines a clear explicit goal and defines the scope and constraints i.e to use the Kotlin sksamuel/scrimage library to generate code that draws a string on an image and outlines the string. It defines constraints like the text should be drawn in white, with a black border clearing setting the expectations ( postconditions) Verification was scored 2 because the prompt specifies the behavior rules and constrains the output to draw a string on an image and outlines the string. That the text is drawn in white, with a black border which can be verified.",5,354.0,5.87211779,1.0,1.0,6.67,merged,10.0,1.0,Kotlin,0.0,
PA-23,https://github.com/jsdom/jsdom/pull/3644,https://chat.openai.com/share/3892a3b2-1c1c-4b9c-9a0f-fe3df1c317ae,PA,2,2,2,Context was scored 2 because the prompt provides code snippets for the sample test cases with symbols and function names which provide grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 2 because the prompt defines a clear explicit goal and defines the scope and constraints and output format i.e to rewrite the provided test case and combine all the it() blocks from the original into one test() in the rewritten case. Prompt provides an example of a test case (for a different bug) in the format required for the rewritten test case. Verification was scored 2 because the prompt specifies the behavior rules and constrains the output format to the example provided and also explictiy mentions that all should be combined into one test which can be verified,6,8717.0,9.07314513,1.0,1.0,7.69,merged,2.0,15.0,JSON,0.0,
PA-21,https://github.com/hufscheer/client/pull/119,https://chat.openai.com/share/e693f6f2-de5a-4f90-a49f-8d95b8740ebb,PA,2,2,1,"Context was scored 2 because the prompt provides code snippets, function names like deleteLeague and symbols which provide grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 2 because the prompt defines a clear explicit goal and defines the scope and constraints i.e to understand why the behavior of delete button misbehaves(deletes wrong item) in the provided code and how to fix the issue like implementing event.stopPropagate and the prompt provides mentions the expectations ( postconditions) Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be checked if the wrong item gets deleted or now the right item gets deleted",5,374.0,5.92692603,1.0,1.0,4.68,merged,0.0,1.0,TypeScript,1.0,
PA-3,https://github.com/MartinsOnuoha/what-should-i-design/pull/8,https://chat.openai.com/share/2aa6268a-7a4e-4740-bca4-f068e100126a,PA,2,2,2,Context was scored 2 because the prompt mentions about json and provides clear json samples and format which provides grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 2 because the prompt defines a clear explicit goal and defines the scope and constraints i.e generate a list of problem statements in the specified categories like Agriculture. It constrains it to 50 items and defines the output format to be in json format. Verification was scored 2 because the prompt specifies the behavior rules and constrains the output to generate a list in a json format up to 50 following the provided categories which can be verified.,6,300.0,5.70711027,1.0,1.0,1.63,merged,0.0,1.0,TypeScript,0.0,
PA-16,https://github.com/citusdata/activerecord-multi-tenant/pull/199,https://chat.openai.com/share/ad170578-c628-4182-bc14-b4d46a2b1648,PA,2,1,1,"Context was scored 2 because the prompt provides clear context by mentioning the library and language i.e activerecord-multi-tenant library in rails and provides code samples that includes code symbols. Specificity was scored 1 because the goal is clear i.e to get a unit test that checks if the implemented fix is actually working, but the prompt provides no clear constraints or output expectations, format. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. The unit test for the fix can be examined to see if it passed or failed.",4,36.0,3.61091791,1.0,1.0,3.57,merged,0.0,6.0,Ruby,0.0,
PN-19,https://github.com/laravel-json-api/core/pull/12,https://chat.openai.com/share/e9555822-4ffb-4845-8e40-0bc6cbbc658d,PN,1,1,1,"Context was scored 1 because the prompt provides partial context by regular expression (regex) to match ULID format and providing sample regex is the follow up turn i.e. [0-7][0-9A-HJKMNP-TV-Z]{25} but does not include exact code snippets, files, does not mention which programming language is being used. Specificity was scored 1 because the goal is clear i.e give a regex that matches ULID format. VERIFICATION (1): There is implicit correctness verification because the regex must match ULID constraints (26 characters, specific Base32 set, excluded characters). These constraints function as implicit correctness rules, though no explicit tests are provided.",3,10.0,2.39789527,1.0,0.0,,merged,0.0,7.0,PHP,,0.0
PN-25,https://github.com/VOICEVOX/voicevox_core/pull/655,https://chat.openai.com/share/ea95f20d-b69c-47e3-96cc-5f7872077d53,PN,1,1,1,"Context was scored 1 because the prompt provides partial context by mentioning about git diff with no code snippets, file names or filepaths. Specificity was scored 1 because the goal is clear i.e. to understand the status code returns when `git diff` finds differences but no clearly defined constraints, output formats specified. VERIFICATION (1): There is an implicit correctness condition: the expected status-code semantics (0/1/2) must match the defined behavior of GNU diff and git diff. This is an inherent, domain-driven correctness cue, though not explicitly stated as tests.",3,9.0,2.30258509,1.0,0.0,,merged,123.0,1.0,YAML,,0.0
PN-3,https://github.com/opensearch-project/opensearch-migrations/pull/297,https://chat.openai.com/share/08649025-20e3-42e6-abba-32c29722dc0c,PN,2,2,0,"Context was scored 2 because the prompt mentions about frameworks like log4j, Slf4j's, and provides some function names and code snippets i.e log.atLevel().This provides clear locus and concrete evidence. Specificity was scored 2 because the goal is clear and the scope i.e to inquiry on how to setup the same context directly through a log.atLevel().. fluent approach while in a highly concurrent environment and how would the log4j2.properties file look like. VERIFICATION (0): No correctness conditions, expected outputs, invariants, or rules for validating the configuration are provided; the question seeks explanation, not verifiable behavior.",4,186.0,5.23110862,1.0,0.0,,merged,15.0,1.0,Java,,1.0
PN-1,https://github.com/unoplatform/workshops/pull/128,https://chat.openai.com/share/d633a7b6-1b3c-4730-a60b-96dfd97baa0a,PN,1,2,0,"Context was scored 1 because the prompt provides partial context by mentioning about YARP and Yarp.ReverseProxy, no code snippets, functions ,error message provided. Specificity was scored 2 because the prompt defines a clear explicit goal, scope and constraints.i.e, how to use YARP on a server project to bypass CORS restriction on Youtube v1 API. VERIFICATION (0): There are no correctness conditions, test-like expectations, invariants, or behavioral rules included; the prompt does not specify how correctness should be judged.",3,15.0,2.77258872,1.0,0.0,,merged,7.0,1.0,Markdown,,0.0
PN-2,https://github.com/Bananapus/nana-core/pull/37,https://chat.openai.com/share/94d9b5cd-bd5e-4dfd-a11e-39cef1f0634e,PN,1,2,0,"Context was scored 1 because the prompt provides partial context by mentioning about Github action but does not include code snippets, files or anything concrete. Specificity was scored 2 because the goal is clear, scope and constraints i.e to show the renamed file as renamed in a github PR in the diff viewer instead of showing it as one file deleted and another added. VERIFICATION (0): The prompt contains no explicit or implicit correctness conditions, tests, invariants, or behavioral rules to verify success.",3,11712.0,9.36845462,1.0,0.0,,merged,12.0,23.0,Python,,1.0
