Case ID,Outcome Class,Context (C),Specificity (S),Verification (V),Structural Pattern,Prompt Excerpt,Why Representative,Generated Code?,Adopted?,Notes,PR Language,PR Link,Conversation Link
PA-22,PA,1,2,2,Explicitly evaluable implementation task,"Using Kotlin with the sksamuel/scrimage library, generate code to draw text on an image with an outline. Render white text with a black border.",The expected visual result is observable: white text with a black outline.,Yes,Yes,Paper-referenced adopted example.,Kotlin,https://github.com/jaoafa/VCSpeaker.kt/pull/70,https://chat.openai.com/share/be37cf76-8d76-4db7-a056-129e216f0fad
PA-23,PA,2,2,2,Strong correctness constraints,I'd like to rewrite the following test case: describe('#1163 - https://github.com/jsdom/jsdom/issues/...') with sample DOM setup and expectations.,The prompt provides test-case context and expectations that support direct evaluation.,Yes,Yes,Adopted test-related example.,JSON,https://github.com/jsdom/jsdom/pull/3644,https://chat.openai.com/share/3892a3b2-1c1c-4b9c-9a0f-fe3df1c317ae
PA-21,PA,2,2,1,Bounded implementation with concrete code context,'use client'; import Link from 'next/link'; ... useDeleteLeagueMutation ... export default function LeagueList(...) ...,Existing component/mutation code gives enough implementation context for adoption decisions.,Yes,Yes,Adopted UI/API modification example.,TypeScript,https://github.com/hufscheer/client/pull/119,https://chat.openai.com/share/e693f6f2-de5a-4f90-a49f-8d95b8740ebb
PA-3,PA,2,2,2,Structured output expectations,I'm creating an open source collection of UI/UX design problem statements for freshers. Here's a category I have curated [...].,The prompt provides structured JSON/category examples and clear output shape expectations.,Yes,Yes,Adopted structured-data example.,TypeScript,https://github.com/MartinsOnuoha/what-should-i-design/pull/8,https://chat.openai.com/share/2aa6268a-7a4e-4740-bca4-f068e100126a
PA-16,PA,2,1,1,Testable implementation request,"When using activerecord-multi-tenant library in my Rails project, filters do not work. I prepared a fix and now I want to unit test it to see that the fix is actually working.",The prompt asks for a unit test to validate a concrete Rails filtering fix.,Yes,Yes,Adopted test/evaluation example.,Ruby,https://github.com/citusdata/activerecord-multi-tenant/pull/199,https://chat.openai.com/share/ad170578-c628-4182-bc14-b4d46a2b1648
PN-19,PN,1,1,1,Weakly evaluable generated solution,Hello can you give me a regex to match ULID format? This one is correct? [0-7][0-9A-HJKMNP-TV-Z]{25},"The regex task is concrete, but acceptance examples and framework-specific validation are limited.",Yes,No,Paper-referenced generated-but-not-adopted example.,PHP,https://github.com/laravel-json-api/core/pull/12,https://chat.openai.com/share/e9555822-4ffb-4845-8e40-0bc6cbbc658d
PN-25,PN,1,1,1,Implicit verification,"What is the exit status code for git diff when differences are found? Thank you. Also, what about diff?",The prompt asks about command behavior but leaves adoption conditions implicit.,Yes,No,Workflow/CLI-oriented PN example.,YAML,https://github.com/VOICEVOX/voicevox_core/pull/655,https://chat.openai.com/share/ea95f20d-b69c-47e3-96cc-5f7872077d53
PN-3,PN,2,2,0,Exploratory implementation request,How can I log progress and handle worker output in this migration/concurrency context?,The prompt explores a logging approach in a concurrent environment without explicit acceptance criteria.,Yes,No,Concurrency/logging PN example.,Java,https://github.com/opensearch-project/opensearch-migrations/pull/297,https://chat.openai.com/share/08649025-20e3-42e6-abba-32c29722dc0c
PN-1,PN,1,2,0,Underspecified acceptance criteria,Can you show me how to use YARP in a project to bypass CORS restrictions on an API?,The prompt requests a YARP/CORS setup but lacks project constraints and validation conditions.,Yes,No,Proxy/configuration PN example.,Markdown,https://github.com/unoplatform/workshops/pull/128,https://chat.openai.com/share/d633a7b6-1b3c-4730-a60b-96dfd97baa0a
PN-2,PN,1,2,0,Weak framework alignment,How can I configure a GitHub Action workflow for this Python project?,The prompt is workflow-oriented but lacks enough project-specific constraints for confident adoption.,Yes,No,Additional PN example with weak evaluability.,Python,https://github.com/Bananapus/nana-core/pull/37,https://chat.openai.com/share/94d9b5cd-bd5e-4dfd-a11e-39cef1f0634e
