Case_ID,prompt_tokens,prompt_length_source,matched_pdf
PA-1,102,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA1.pdf
PA-2,81,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA2.pdf
PA-3,110,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA3.pdf
PA-4,93,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA4.pdf
PA-5,102,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA5.pdf
PA-6,91,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA6.pdf
PA-7,64,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA7.pdf
PA-8,75,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA8.pdf
PA-9,94,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA9.pdf
PA-10,103,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA10.pdf
PA-11,153,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA11.pdf
PA-12,77,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA12.pdf
PA-13,151,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA13.pdf
PA-14,90,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA14.pdf
PA-15,94,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA15.pdf
PA-16,103,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA16.pdf
PA-17,78,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA17.pdf
PA-18,95,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA18.pdf
PA-19,92,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA19.pdf
PA-20,105,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA20.pdf
PA-21,116,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA21.pdf
PA-22,130,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA22.pdf
PA-23,133,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA23.pdf
PA-24,106,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA24.pdf
PA-25,107,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA25.pdf
PA-26,88,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA26.pdf
PA-27,102,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA27.pdf
PA-28,79,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA28.pdf
PA-29,139,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA29.pdf
PA-30,88,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA30.pdf
PA-31,101,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA31.pdf
PA-32,54,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA32.pdf
PA-33,104,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA33.pdf
PA-34,106,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA34.pdf
PA-35,94,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA35.pdf
PA-36,130,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA36.pdf
PA-37,113,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA37.pdf
PA-38,73,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA38.pdf
PA-39,154,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA39.pdf
PA-40,111,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA40.pdf
PA-41,159,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA41.pdf
PA-42,132,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA42.pdf
PA-43,162,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA43.pdf
PA-44,86,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA44.pdf
PA-45,76,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA45.pdf
PA-46,101,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA46.pdf
PA-47,97,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA47.pdf
PA-48,96,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA48.pdf
PA-49,89,rationale_fallback,
PA-50,90,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA50.pdf
PA-51,90,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA51.pdf
PA-52,95,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA52.pdf
PA-53,88,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA53.pdf
PA-54,91,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA54.pdf
PA-55,94,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA55.pdf
PA-56,100,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA56.pdf
PA-57,117,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA57.pdf
PA-58,100,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA58.pdf
PA-59,133,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA59.pdf
PA-60,151,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA60.pdf
PA-61,101,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA61.pdf
PA-62,176,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA62.pdf
PA-63,88,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA63.pdf
PA-64,93,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA64.pdf
PA-65,89,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA65.pdf
PA-66,88,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA66.pdf
PA-67,109,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA67.pdf
PA-68,85,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA68.pdf
PA-69,79,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA69.pdf
PA-70,90,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA70.pdf
PA-71,113,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA71.pdf
