Case ID,Integration Fraction,Context (C),Specificity (S),Verification (V),Structural Pattern,Prompt Excerpt,Why Representative,Integration Depth Category,Notes,Outcome Class,PR Language,PR Link,Conversation Link
PA-78,84.84,2,2,1,Strong contextual grounding enabling deep reuse,"I want to refactor this program, which takes in an amount of change as a user input, and then outputs how many of each bill and coin you would give back.","Provides program context and a refactoring target, allowing generated code to align with existing implementation.",High,Paper-referenced high-reuse example.,PA,Python,https://github.com/VyProductions/SeniorDesign/pull/57,https://chat.openai.com/share/968d797a-0ef8-4644-91b9-70d1a3d0c016
PA-23,7.69,2,2,2,Rich project artifacts supporting direct integration,I'd like to rewrite the following test case: describe('#1163 - https://github.com/jsdom/jsdom/issues/...') with sample DOM setup and expectations.,"Includes test-case structure and expected behavior, supporting direct integration of generated changes.",High,Recommended high-depth example from Gate 2 instructions.,PA,JSON,https://github.com/jsdom/jsdom/pull/3644,https://chat.openai.com/share/3892a3b2-1c1c-4b9c-9a0f-fe3df1c317ae
PA-21,4.68,2,2,1,Rich project artifacts supporting direct integration,'use client'; import Link from 'next/link'; ... useDeleteLeagueMutation ... export default function LeagueList(...) ...,Includes surrounding component and mutation code that anchors the generated output in existing project structure.,High,Recommended high-depth example from Gate 2 instructions.,PA,TypeScript,https://github.com/hufscheer/client/pull/119,https://chat.openai.com/share/e693f6f2-de5a-4f90-a49f-8d95b8740ebb
PA-84,100.0,2,1,1,Strong contextual grounding enabling deep reuse,C++/CGIString prompt with code snippets and function context for direct implementation.,"Includes C++ code and function context, supporting near-direct reuse.",High,Additional high-reuse PA example.,PA,C++,https://github.com/dantol29/webserver/pull/147,https://chat.openai.com/share/2b9c431e-827a-48d5-821f-0395b7f2b022
PA-61,43.14,2,1,1,Contextual grounding with adaptation requirements,What is tailwindcss and can you make a simple code snippet that shows its use and what it does?,"Includes Tailwind/React framing and code context, but still requires adaptation to fit project conventions.",Medium,Recommended moderate example.,PA,TypeScript,https://github.com/UNLV-CS472-672/2024-S-GROUP3-Barbell/pull/229,https://chat.openai.com/share/5e4a70ec-4936-4500-9821-d89ec43df531
PA-16,3.57,2,1,1,Project-constrained integration,"When using activerecord-multi-tenant library in my Rails project, filters do not work. I prepared a fix and now I want to unit test it to see that the fix is actually working.",Rails/library-specific testing context supports reuse but requires framework-specific adaptation.,Medium,Recommended moderate example.,PA,Ruby,https://github.com/citusdata/activerecord-multi-tenant/pull/199,https://chat.openai.com/share/ad170578-c628-4182-bc14-b4d46a2b1648
PA-3,1.63,2,2,2,Contextual grounding with adaptation requirements,I'm creating an open source collection of UI/UX design problem statements for freshers. Here's a category I have curated [...].,"Structured JSON/category examples support reuse, but integration still requires adaptation to project content.",Medium,Recommended moderate example.,PA,TypeScript,https://github.com/MartinsOnuoha/what-should-i-design/pull/8,https://chat.openai.com/share/2aa6268a-7a4e-4740-bca4-f068e100126a
PA-24,7.69,1,2,1,High specificity but shallow integration,"In TypeScript: could you create an enum consisting of 5 categories, which are used to categorize software projects? Could you then initialize variables which have as a type a list of this enum.",The TypeScript enum task is specific but weakly grounded in surrounding implementation context.,Low,Paper-referenced low-reuse example.,PA,TypeScript,https://github.com/viets-software-club/truffle-ai-backend/pull/52,https://chat.openai.com/share/48bd44b4-13a7-4ff8-9938-2214f0b17f6b
PA-22,6.67,1,2,2,Generic implementation with limited contextual alignment,"Using Kotlin with the sksamuel/scrimage library, generate code to draw text on an image with an outline. Render white text with a black border.",The image-rendering task is specific and evaluable but lacks surrounding project code.,Low,Recommended low-reuse example.,PA,Kotlin,https://github.com/jaoafa/VCSpeaker.kt/pull/70,https://chat.openai.com/share/be37cf76-8d76-4db7-a056-129e216f0fad
PA-34,7.69,1,2,1,High specificity but shallow integration,TypeScript implementation request that defines a specific bounded task but gives limited surrounding project context.,"Specific TypeScript task with limited surrounding code context, resulting in shallow reuse.",Low,Additional low-reuse PA case.,PA,TypeScript,https://github.com/viets-software-club/truffle-ai-backend/pull/52,https://chat.openai.com/share/48bd44b4-13a7-4ff8-9938-2214f0b17f6b
