Case ID,PR_Link,Conversation_Link,Outcome_Class,Context,Specificity,Verification,Rationale,PQS ,PR_Size,Log_PR_Size,Has_Code,Adopt_Any,Fraction_Adopted,Status,Exp_Author_Repo,Time_To_Event,PR_Language,Merged_By_Author,Closed_By_Author,Closed_By_Author_new,Case_ID,PQS,Repository,PR_Number,Merged,Closed,Generated_Code,Adopted_Code,Resolved,Close_Event,Merge_Event
PA-1,https://github.com/Altinn/altinn-broker/pull/259,https://chat.openai.com/share/b7853f70-84b8-477b-9879-a93a51215f81,PA,1.0,1.0,0.0,"Context was scored 1 because the prompt provides partial context by mentioning the framework xunit test framework but does not include code snippets, files, function names. Specificity was scored 1 because the goal is clear i.e how to use a .json file with test data in a xunit test, and the prompt provides minimal scope and constraints i.e. use .json file with test data and constrain it to use xunit test though no expected output format, no structure for the test data. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria or test-like expectations.",2,125.0,4.836281907,1.0,1.0,19.23,merged,3.0,1.0,JSON,1.0,,,PA-1,2,Altinn/altinn-broker,259,1,0,1,1,1,0,1
PA-2,https://github.com/Hochfrequenz/kohlrahbi/pull/158,https://chat.openai.com/share/4ad4c1ad-6f13-4a21-a0e3-aaf75e17c556,PA,1.0,1.0,0.0,"Context was scored 1 because the prompt provides partial context by mentioning about python and how to create deepcopy but does not include code snippets, files. Specificity was scored 1 because the goal is clear i.e how to create a deep copy of a variable in python but the prompt provides no constraints, scope boundaries or structured output requirements Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, expected behavior, invariants, or test-like expectations",2,51.0,3.951243719,1.0,1.0,16.67,merged,40.0,1.0,Python,1.0,,,PA-2,2,Hochfrequenz/kohlrahbi,158,1,0,1,1,1,0,1
PA-3,https://github.com/MartinsOnuoha/what-should-i-design/pull/8,https://chat.openai.com/share/2aa6268a-7a4e-4740-bca4-f068e100126a,PA,2.0,2.0,2.0,Context was scored 2 because the prompt mentions about json and provides clear json samples and format which provides grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 2 because the prompt defines a clear explicit goal and defines the scope and constraints i.e generate a list of problem statements in the specified categories like Agriculture. It constrains it to 50 items and defines the output format to be in json format. Verification was scored 2 because the prompt specifies the behavior rules and constrains the output to generate a list in a json format up to 50 following the provided categories which can be verified.,6,300.0,5.707110265,1.0,1.0,1.63,merged,0.0,1.0,TypeScript,0.0,,,PA-3,6,MartinsOnuoha/what-should-i-design,8,1,0,1,1,1,0,1
PA-4,https://github.com/Opetushallitus/ludos/pull/102,https://chat.openai.com/share/bdfcb857-08a3-4ff9-b610-b9bffcff6db8,PA,1.0,1.0,1.0,"Context was scored 1 because the prompt provides partial context by mentioning the language typescript and function name, but does not include code snippets examples. Specificity was scored 1 because the goal and scope is clear i.e to establish whether to use custom Error types to distinguish between different error cases in typescript, but the prompt provides no structured output requirements Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be checked whether the error is session expiry or generic error.",3,620.0,6.431331082,1.0,1.0,13.02,merged,65.0,5.0,TypeScript,1.0,,,PA-4,3,Opetushallitus/ludos,102,1,0,1,1,1,0,1
PA-5,https://github.com/SharezoneApp/sharezone-app/pull/980,https://chat.openai.com/share/fd82b66d-d949-4397-9b12-384fa87c7b35,PA,2.0,1.0,1.0,"Context was scored 2 because the prompt mentions about the frameworks i.e Github Action and deploy script in dart and provides the Yaml and Dart codes with functions that might have the problem. This provides clear locus and concrete evidence. Specificity was scored 1 because the goal is clear i.e help resolve problems with GitHub Action and deploy script but the scope is not bounded, on every turn, keeps on changing. Verification was scored 1 because verification is implicitly implied i.e. ensuring Github Action and deploy script work well and also prompt documented the required reasoning why it works.",4,18.0,2.944438979,1.0,1.0,25.0,merged,421.0,1.0,YAML,1.0,,,PA-5,4,SharezoneApp/sharezone-app,980,1,0,1,1,1,0,1
PA-6,https://github.com/Snapchain/zkevm-bridge-ui/pull/1,https://chat.openai.com/share/5b5fd8b5-d766-41c4-8312-4c887e29ec6e,PA,2.0,1.0,1.0,"Context was scored 2 because the prompt mentions vitejs and mentions files or file paths i.e index.html and .env. This provides clear locus and concrete evidence. The goal (inject dynamic values from .env into index.html) is clear, but the prompt includes no constraints, expected output format, or edge conditions, so Specificity = 1. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. i.e it can be checked whether the index.html file has dynamic values from .env file.",4,1145.0,7.044032897,1.0,1.0,16.67,merged,0.0,26.0,JSON,0.0,,,PA-6,4,Snapchain/zkevm-bridge-ui,1,1,0,1,1,1,0,1
PA-7,https://github.com/StreamSG/ABCWorkshop/pull/38,https://chat.openai.com/share/714269d7-1801-4ced-8581-c640ffd7126a,PA,2.0,2.0,1.0,"Context was scored 2 because the prompt provides clear context by mentioning the typescript programming language and includes code examples , objects and symbols. Specificity was scored 2 because the goal is clear i.e general inquiry of how to optimally set up arrays in typescript with constraits defined. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions are specified.",5,107.0,4.682131227,1.0,1.0,11.1,merged,11.0,10.0,TypeScript,0.0,,,PA-7,5,StreamSG/ABCWorkshop,38,1,0,1,1,1,0,1
PA-8,https://github.com/UNLV-CS472-672/2024-S-GROUP3-Barbell/pull/228,https://chat.openai.com/share/2f031d05-f348-4802-802c-9dc8eb68114a,PA,1.0,1.0,0.0,"Context was scored 1 because the prompt provides partial context by mentioning about javascript/typescript closures, but does not include code snippets, code samples or functions Specificity was scored 1 because the goal is clear i.e javascript/typescript closures, and the prompt provides no , but no clear constraints, scope, or output expectations/format. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, expected behavior, invariants, or test-like expectations",2,2703.0,7.902487437,1.0,1.0,11.78,merged,18.0,3.0,TypeScript,1.0,,,PA-8,2,UNLV-CS472-672/2024-S-GROUP3-Barbell,228,1,0,1,1,1,0,1
PA-9,https://github.com/VOICEVOX/voicevox/pull/1621,https://chat.openai.com/share/85e06c91-586d-4872-835e-1ef91a69e56f,PA,1.0,2.0,1.0,"Context was scored 1 because the prompt provides partial context by mentioning about typescript language and zod library but does not include code snippets, code samples or functions Specificity was scored 2 because the goal, scope and constraints are clear i.e how to use Zod brand types to separate numeric units like milliseconds, and nanoseconds in typescript Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be checked whether the numeric types/variables are separated by types for seconds, milliseconds, and nanoseconds.",4,295.0,5.690359454,1.0,1.0,12.5,merged,20.0,1.0,TypeScript,0.0,,,PA-9,4,VOICEVOX/voicevox,1621,1,0,1,1,1,0,1
PA-10,https://github.com/VOICEVOX/voicevox_engine/pull/1122,https://chat.openai.com/share/16789f4e-aa4b-4baa-bef3-eab3170ab67d,PA,2.0,2.0,1.0,"Context was scored 2 because the prompt includes concrete code snippets with GitHub Actions matrix variables , CUDA variables and shellcheck warnings (SC2193) with linux commands like mv, mkdir. This provides clear locus and concrete evidence Specificity was scored 2 because the goal, scope and constraints are clear i.e to modify the code to avoid disabling shellcheck for SC2193 with constraints for the different operating systems passed via ${{ matrix.os }} configuration. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be checked under the github Actions where it ran successfully and shelldisabled.",5,31.0,3.465735903,1.0,1.0,16.67,merged,173.0,21.0,YAML,0.0,,,PA-10,5,VOICEVOX/voicevox_engine,1122,1,0,1,1,1,0,1
PA-11,https://github.com/alcionai/corso/pull/4417,https://chat.openai.com/share/9550ff9a-5077-459d-a35e-47c20890240e,PA,1.0,1.0,0.0,"Context was scored 1 because the prompt provides partial context by mentioning the language golang and frameworks like jwt but does not include code snippets, files. Context was scored 1 because the prompt provides partial context by mentioning the language golang and frameworks like jwt but does not include code snippets, files. Specificity was scored 1 because the goal is clear i.e general inquiry of how to check in golang whether the jwt token is still valid taking into account the current timezone might be different from the one in which the token was generated ,no clear scope defined. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, test-like expectations. Prompt Efficiency was scored 5 because the conversation resolves in a single turn without refinement (one-shot precision criterion) Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, test-like expectations.",2,255.0,5.545177444,1.0,1.0,16.66,merged,45.0,7.0,Go,0.0,,,PA-11,2,alcionai/corso,4417,1,0,1,1,1,0,1
PA-12,https://github.com/globalbibletools/gbt/pull/114,https://chat.openai.com/share/1e32601b-3ca7-400c-a1db-1fcbe3d652e7,PA,2.0,1.0,0.0,Context was scored 2 because the prompt mentions about the framework i.e swagger openapi and provides the openapi codes that need modification to add the tags and provides grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 1 because the prompt defines clear explicit goal i..e add tags to the the swagger openapi file. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria or test-like expectations.,3,159.0,5.075173815,1.0,1.0,5.13,merged,10.0,1.0,YAML,0.0,,,PA-12,3,globalbibletools/gbt,114,1,0,1,1,1,0,1
PA-13,https://github.com/badass-courses/course-builder/pull/83,https://chat.openai.com/share/ba3beff6-497b-4bcb-bed6-e93e3412fb0d,PA,2.0,2.0,1.0,"Context was scored 2 because the prompt mentions sanity.io and mysql and provides sample sql code which provides grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 2 because the prompt defines a clear explicit goal and defines the scope and constraints i.e the need to model access control to be able to read, write, and/or manage specific pieces of content and also display contributor credits. Defines constraints like schema of some tables, and defining a serializable schema using Zod and transitioning to mysql database from having two databases Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be checked to see if they’re no longer relying on sanity.io database and also if the content is the specified schema for sanity.io can be stored in the updated database schema for mysql.",5,290.0,5.673323267,1.0,1.0,14.45,merged,55.0,1.0,TypeScript,1.0,,,PA-13,5,badass-courses/course-builder,83,1,0,1,1,1,0,1
PA-14,https://github.com/ssvlabs/ssv-web/pull/277,https://chat.openai.com/share/952f594b-24af-48d4-92ec-e06b3b3fbbff,PA,1.0,1.0,0.0,"Context was scored 1 because the prompt provides partial context by mentioning the language typescript and minimally about obj.values() function but does not include code snippets, files. Specificity was scored 1 because the goal is clear i.e general inquiry of whether there’s ordered dict in typescript so as to ensure values are aligned in the same order as using obj.values() but ,no clear scope defined. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, expected behavior, invariants, or test-like expectations.",2,155.0,5.049856007,1.0,1.0,14.29,merged,123.0,5.0,TypeScript,1.0,,,PA-14,2,ssvlabs/ssv-web,277,1,0,1,1,1,0,1
