Case ID,PR_Link,Conversation_Link,Outcome_Class,Context,Specificity,Verification,Rationale,PQS
PA-1,https://github.com/Altinn/altinn-broker/pull/259,https://chat.openai.com/share/b7853f70-84b8-477b-9879-a93a51215f81,PA,1,1,0,"Context was scored 1 because the prompt provides partial context by mentioning the framework xunit test framework but does not include code snippets, files, function names. Specificity was scored 1 because the goal is clear i.e how to use a .json file with test data in a xunit test, and the prompt provides minimal scope and constraints i.e. use .json file with test data and constrain it to use xunit test though no expected output format, no structure for the test data. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria or test-like expectations.",2
PA-2,https://github.com/Hochfrequenz/kohlrahbi/pull/158,https://chat.openai.com/share/4ad4c1ad-6f13-4a21-a0e3-aaf75e17c556,PA,1,1,0,"Context was scored 1 because the prompt provides partial context by mentioning about python and how to create deepcopy but does not include code snippets, files. Specificity was scored 1 because the goal is clear i.e how to create a deep copy of a variable in python but the prompt provides no constraints, scope boundaries or structured output requirements Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, expected behavior, invariants, or test-like expectations",2
PA-3,https://github.com/MartinsOnuoha/what-should-i-design/pull/8,https://chat.openai.com/share/2aa6268a-7a4e-4740-bca4-f068e100126a,PA,2,2,2,Context was scored 2 because the prompt mentions about json and provides clear json samples and format which provides grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 2 because the prompt defines a clear explicit goal and defines the scope and constraints i.e generate a list of problem statements in the specified categories like Agriculture. It constrains it to 50 items and defines the output format to be in json format. Verification was scored 2 because the prompt specifies the behavior rules and constrains the output to generate a list in a json format up to 50 following the provided categories which can be verified.,6
PA-4,https://github.com/Opetushallitus/ludos/pull/102,https://chat.openai.com/share/bdfcb857-08a3-4ff9-b610-b9bffcff6db8,PA,1,1,1,"Context was scored 1 because the prompt provides partial context by mentioning the language typescript and function name, but does not include code snippets examples. Specificity was scored 1 because the goal and scope is clear i.e to establish whether to use custom Error types to distinguish between different error cases in typescript, but the prompt provides no structured output requirements Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be checked whether the error is session expiry or generic error.",3
PA-5,https://github.com/SharezoneApp/sharezone-app/pull/980,https://chat.openai.com/share/fd82b66d-d949-4397-9b12-384fa87c7b35,PA,2,1,1,"Context was scored 2 because the prompt mentions about the frameworks i.e Github Action and deploy script in dart and provides the Yaml and Dart codes with functions that might have the problem. This provides clear locus and concrete evidence. Specificity was scored 1 because the goal is clear i.e help resolve problems with GitHub Action and deploy script but the scope is not bounded, on every turn, keeps on changing. Verification was scored 1 because verification is implicitly implied i.e. ensuring Github Action and deploy script work well and also prompt documented the required reasoning why it works.",4
PA-6,https://github.com/Snapchain/zkevm-bridge-ui/pull/1,https://chat.openai.com/share/5b5fd8b5-d766-41c4-8312-4c887e29ec6e,PA,2,1,1,"Context was scored 2 because the prompt mentions vitejs and mentions files or file paths i.e index.html and .env. This provides clear locus and concrete evidence. The goal (inject dynamic values from .env into index.html) is clear, but the prompt includes no constraints, expected output format, or edge conditions, so Specificity = 1. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. i.e it can be checked whether the index.html file has dynamic values from .env file.",4
PA-7,https://github.com/StreamSG/ABCWorkshop/pull/38,https://chat.openai.com/share/714269d7-1801-4ced-8581-c640ffd7126a,PA,2,2,1,"Context was scored 2 because the prompt provides clear context by mentioning the typescript programming language and includes code examples , objects and symbols. Specificity was scored 2 because the goal is clear i.e general inquiry of how to optimally set up arrays in typescript with constraits defined. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions are specified.",5
PA-8,https://github.com/UNLV-CS472-672/2024-S-GROUP3-Barbell/pull/228,https://chat.openai.com/share/2f031d05-f348-4802-802c-9dc8eb68114a,PA,1,1,0,"Context was scored 1 because the prompt provides partial context by mentioning about javascript/typescript closures, but does not include code snippets, code samples or functions Specificity was scored 1 because the goal is clear i.e javascript/typescript closures, and the prompt provides no , but no clear constraints, scope, or output expectations/format. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, expected behavior, invariants, or test-like expectations",2
PA-9,https://github.com/VOICEVOX/voicevox/pull/1621,https://chat.openai.com/share/85e06c91-586d-4872-835e-1ef91a69e56f,PA,1,2,1,"Context was scored 1 because the prompt provides partial context by mentioning about typescript language and zod library but does not include code snippets, code samples or functions Specificity was scored 2 because the goal, scope and constraints are clear i.e how to use Zod brand types to separate numeric units like milliseconds, and nanoseconds in typescript Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be checked whether the numeric types/variables are separated by types for seconds, milliseconds, and nanoseconds.",4
PA-10,https://github.com/VOICEVOX/voicevox_engine/pull/1122,https://chat.openai.com/share/16789f4e-aa4b-4baa-bef3-eab3170ab67d,PA,2,2,1,"Context was scored 2 because the prompt includes concrete code snippets with GitHub Actions matrix variables , CUDA variables and shellcheck warnings (SC2193) with linux commands like mv, mkdir. This provides clear locus and concrete evidence Specificity was scored 2 because the goal, scope and constraints are clear i.e to modify the code to avoid disabling shellcheck for SC2193 with constraints for the different operating systems passed via ${{ matrix.os }} configuration. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be checked under the github Actions where it ran successfully and shelldisabled.",5
